"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"id129446",31.8815956960622,-0.268424307886631,0.331741618031574,-0.809136669313173,0.418436537988283,0.683269789879602
"id129447",9232.18449964705,-0.576996264115221,0.166446554295828,-3.46655577555374,0.000527172347938287,0.006182293898549
"id129458",0.300496455369631,-0.859570113415807,2.42204084038319,-0.354894970837822,0.722668276255824,NA
"id129459",0.334306660492364,0.410081452758933,2.36246265250989,0.173582194970685,0.862193825936705,NA
"id129461",0.956607074002702,1.64406739549632,1.29580391696147,1.26876248325556,0.204525789585764,NA
"id129462",0.155045558105409,0.709429344963093,3.0414330302705,0.233254961691528,0.815563429386767,NA
"id129463",0.358536790114783,-1.70367421671607,2.05262712934129,-0.829996930452146,0.406540519146829,NA
"id129464",0.272845060622633,0.38883700114223,2.78594671714389,0.139570867866726,0.888999059355651,NA
"id129465",1.35920539166989,0.70070208501506,1.11352310181736,0.629265871423287,0.52917501061211,NA
"id129466",0.380253097673916,0.30928761799225,2.32027499074633,0.13329782858745,0.893957844813086,NA
"id129467",0.198718461600525,1.19420158975791,3.03478989242394,0.393503877398274,0.69394736075621,NA
"id129469",0.169701118734576,0.709429344963093,3.0414330302705,0.233254961691528,0.815563429386767,NA
"id129470",0.164695854730305,1.01273453641549,3.03918813110038,0.333225352538086,0.738964182112209,NA
"id129471",0.175062030916075,1.05778247583966,2.82079609558631,0.374994306569967,0.707664700920992,NA
"id129472",0.164256433695745,1.00117220248447,3.03937634250775,0.329400538025646,0.741852961175708,NA
"id129473",0.164362336985698,-1.19864819739288,2.86162237690672,-0.418870151095395,0.675311032650178,NA
"id129474",6.55817775741068,0.218241017300768,0.550427416242118,0.396493726258667,0.691740835173208,NA
"id129475",0.578076447574693,2.57230006316348,2.30619199974664,1.11538851207795,0.26468397025662,NA
"id129477",0.791822637012682,0.605212576035797,1.46960152032642,0.411820869579239,0.680470723611997,NA
"id129478",5.65865519202056,0.0524370529967191,0.538988065173377,0.0972879668121253,0.922497711761481,NA
"id129479",0.051681852701803,0.0682374803625387,3.0414330302705,0.022435963469651,0.982100192865074,NA
"id129480",4.7467399252042,1.41803196528584,0.539548743376412,2.62818138804664,0.00858427286313833,NA
"id129482",0.948604786045555,1.98827392133852,1.3124389879957,1.51494579140393,0.129786132653984,NA
"id129483",2.42884529851951,0.421845710913634,0.750802372895349,0.56185985306207,0.574211508720498,NA
"id129484",0.351365012054644,0.78740286096565,2.08555869688525,0.377550083889571,0.705764851856386,NA
"id129485",80.565241026523,0.753736277597335,0.232542077570329,3.24128985804463,0.00118990127085237,0.012791438661663
"id129486",10.8306914325417,0.512281907653327,0.573561409152747,0.893159650350359,0.371771682703636,0.645488957091279
"id129487",35.1549877682353,0.720673786056672,0.25074459556649,2.87413487189426,0.00405135914471271,0.0348416886445293
"id129488",1463.87657128222,-0.235604200624038,0.15316005797519,-1.53828748656,0.123978337986816,0.313592266672535
"id129489",1.28311296098376,2.63438092594445,1.16258242311976,2.26597346868118,0.0234530077249654,NA
"id129490",0.207170640470932,1.23371590026452,2.67585383932288,0.461055040501284,0.644759116789182,NA
"id129491",0.0528836603571764,-0.572952901403921,3.0414330302705,-0.188382547207677,0.850576780076535,NA
"id129492",0.423441613514367,-2.39687912068455,1.93379282633191,-1.23947047897113,0.215171314812914,NA
"id129493",6.56805376165899,0.14533773490589,0.574317806731793,0.253061516119355,0.800220676803113,NA
"id129494",1.92926713911453,-2.28594196096429,0.941871266778237,-2.42702165528796,0.0152233471474861,NA
"id129495",57.4382280266793,-0.0161661120933805,0.350910727173333,-0.0460690165376315,0.963255240998872,0.986189889594083
"id129496",447.168532479892,-0.76770075697502,0.196581949369463,-3.90524541768674,9.41298079403705e-05,0.00134919391381198
"id129497",18.6561309255377,0.347342090370459,0.41331056585169,0.840390057908893,0.400689721709761,0.671285377929339
"id129564",0.0376325423598616,0.0682374803625387,3.0414330302705,0.022435963469651,0.982100192865074,NA
"id129572",1.59453110886775,-0.214550136485372,0.919435651003276,-0.233349812193227,0.815489781486647,NA
"id129573",2.60476387078212,0.78725189017977,0.972116679678767,0.809832715183856,0.418036327163098,NA
"id129574",6.83932524672265,-0.361378266199339,0.639554080960294,-0.565047236750842,0.572041635309671,NA
"id129575",14.4227481919207,-0.638434170507547,0.329296890099341,-1.93877983577356,0.0525281524597751,0.193603761923171
"id129576",4.60846565664676,0.588996396812316,0.634859084609501,0.927759263576743,0.353532459325276,NA
